Piper Peak,9450,37.704288,-117.908942
Mount Edith,9480,46.431778,-111.186205
Strawberry Mountain,9040,44.31228,-118.716487
Black Pine Mountains High Point,9395,42.13866,-113.125608
Baldy Mountain,7464,47.621358,-114.82472
Hilgard Peak,11316,44.916588,-111.45928
Greathouse Peak,8681,46.768312,-109.356707
Francs Peak,13153,43.961296,-109.339384
Flat Top Mountain,12354,40.014759,-107.083357
Mount Wilson,14246,37.839122,-107.991586
Frisco Peak,9660,38.520423,-113.2875
Ute Peak,9979,37.284032,-108.778622
Castle Peak,11815,44.039865,-114.586729
Mormon Peak,7414,36.974093,-114.50059
Oxford Peak,9282,42.269556,-112.097833
Truchas Peak,13102,35.962498,-105.645118
Mount Prophet,7640,48.84861,-121.162797
Holland Peak,9356,47.53506,-113.582438
North Gardner Mountain,8956,48.515229,-120.501667
Toro Peak,8716,33.523398,-116.425683
Ch-paa-qn Peak,7996,47.157847,-114.355936
Tin Mountain,8953,36.886682,-117.456012
Mount Ritter,13143,37.689058,-119.199557
West Goat Peak,10793,45.962506,-113.394856
Mazatzal Peak,7903,34.06259,-111.46152
Hozomeen Mountain,8066,48.982283,-121.012017
Spruce Mountain,10262,40.552112,-114.821788
Sacagawea Peak,9650,45.895843,-110.968551
Waucoba Mountain,11123,37.021874,-118.007911
Mount Grant,11280,38.568409,-118.791119
Baldy Peak,8378,30.635656,-104.173728
Thompson Peak,8994,41.000631,-123.04843
Job Peak,8785,39.583196,-118.235478
Sonoma Peak,9396,40.860541,-117.607108
Ruby Mountain,7408,48.694438,-121.042906
Hollowtop Mountain,10604,45.611602,-112.008287
Sloan Peak,7835,48.041414,-121.340222
Huckleberry Mountain,5825,48.211133,-117.977425
Mount Lincoln,14286,39.351504,-106.111584
Double Mountain,7981,35.033254,-118.486726
Mount Ogden,9570,41.199946,-111.882078
Goode Mountain,9200,48.483086,-120.911491
Lone Mountain,9108,38.024368,-117.494448
Crow Peak,9414,46.293968,-111.903691
South Baldy,10783,33.991116,-107.187966
Red Mountain,9411,47.116689,-112.738775
Tweedy Mountain,11154,45.480473,-112.965444
White Chuck Mountain,6989,48.208495,-121.41696
Greenhorn Mountain,12347,37.881517,-105.013273
White Mountain West,10442,44.574859,-114.495851
Bald Mountain,9348,37.449574,-115.733682
Brian Head,11307,37.681209,-112.831221
Sunset Peak,10581,44.855949,-112.146832
McLeod Peak,8620,47.095111,-113.922918
Cherry Creek Benchmark,10522,39.966164,-114.895836
Bull Mountain,9934,41.909956,-113.365914
Robinson Mountain,7539,48.967105,-115.412197
Mount Powell,10168,46.349931,-112.979889
Kingston Peak,7336,35.726699,-115.915605
Mount Headley,7427,47.739799,-115.263688
Fool Creek Peak,9712,39.39259,-112.207354
Bonanza Peak,9511,48.238217,-120.866415
Pyramid Peak,6703,36.391894,-116.612181
Organ Needle,8980,32.345174,-106.562034
Big Hatchet Peak,8356,31.635381,-108.398766
Goshute Peak,9610,40.499513,-114.295594
Trout Peak,12244,44.601275,-109.525487
Big Chiwaukum,8081,47.702385,-120.934657
Salt Benchmark,9997,39.664909,-111.743259
West Spanish Peak,13626,37.375588,-104.993396
South Sheep Mountain,10606,44.763196,-111.390641
Gilbert Peak,8184,46.488626,-121.408374
Kumiva Peak,8220,40.406058,-119.263222
Ward Mountain,10936,39.100125,-114.920644
Gunn Peak,6240,47.816149,-121.448021
Indian Peak,9790,38.267049,-113.875515
American Fork Twin Peaks,11489,40.551781,-111.656601
Table Mountain,10888,38.81182,-116.588256
Virginia Peak,8366,39.755664,-119.461258
West Mountain Peak,7680,37.155178,-113.883304
Maturango Peak,8839,36.11999,-117.495588
